chunk_index,send_ts,recv_ts,latency_s,decode_time_s
0,1770729016.9281476,1770729017.1657598,0.237612,0.037468
1,1770729017.949248,1770729017.9814742,0.032226,0.037468
2,1770729018.7638757,1770729018.7963922,0.032516,0.037871
3,1770729019.580179,1770729019.6104789,0.0303,0.037475
4,1770729020.397363,1770729020.4274879,0.030125,0.037565
5,1770729021.213603,1770729021.2434363,0.029833,0.037256
6,1770729022.029846,1770729022.0616064,0.03176,0.037217
7,1770729022.8462589,1770729022.876488,0.030229,0.036976
8,1770729023.6625633,1770729023.693553,0.03099,0.037008
9,1770729024.4789126,1770729024.5094137,0.030501,0.037091
10,1770729025.2950537,1770729025.326366,0.031312,0.037277
11,1770729026.1112998,1770729026.1423185,0.031019,0.037231
12,1770729026.9274032,1770729026.957521,0.030118,0.037523
13,1770729027.7436,1770729027.7745862,0.030986,0.037005
14,1770729028.5599728,1770729028.5915153,0.031543,0.037172
15,1770729029.3763669,1770729029.4085257,0.032159,0.037281
16,1770729030.1925828,1770729030.2243695,0.031787,0.037582
17,1770729031.0090897,1770729031.0415063,0.032417,0.039052
18,1770729031.8253703,1770729031.8573914,0.032021,0.037222
19,1770729032.6417208,1770729032.6734703,0.031749,0.037145
20,1770729033.457967,1770729033.4894738,0.031507,0.037299
21,1770729034.274538,1770729034.3065076,0.03197,0.037195
