chunk_index,encode_time_s,serialize_time_s,send_ts
0,0.104943,0.000302,1770729016.9281476
1,0.102466,0.000292,1770729017.949248
2,0.10193,0.000316,1770729018.7638757
3,0.102262,0.000302,1770729019.580179
4,0.103826,0.000324,1770729020.397363
5,0.102232,0.000294,1770729021.213603
6,0.102332,0.000287,1770729022.029846
7,0.102456,0.00032,1770729022.8462589
8,0.102528,0.000301,1770729023.6625633
9,0.10218,0.000283,1770729024.4789126
10,0.102097,0.000286,1770729025.2950537
11,0.102205,0.000284,1770729026.1112998
12,0.102101,0.000286,1770729026.9274032
13,0.102311,0.000293,1770729027.7436
14,0.102221,0.000284,1770729028.5599728
15,0.102456,0.000279,1770729029.3763669
16,0.102291,0.00031,1770729030.1925828
17,0.102355,0.000322,1770729031.0090897
18,0.102484,0.000313,1770729031.8253703
19,0.102245,0.000294,1770729032.6417208
20,0.102256,0.000278,1770729033.457967
21,0.102397,0.000328,1770729034.274538
